Prix,Prix_Log,Annee,Kilometrage,Usage_Intensity,Marque_Alfa,Marque_Audi,Marque_Autre,Marque_BMW,Marque_Citroën,Marque_Dacia,Marque_Fiat,Marque_Ford,Marque_Hyundai,Marque_Jaguar,Marque_Jeep,Marque_Kia,Marque_Land Rover,Marque_Mercedes-Benz,Marque_Nissan,Marque_Opel,Marque_Peugeot,Marque_Renault,Marque_Seat,Marque_Skoda,Marque_Toyota,Marque_Volkswagen,Marque_Volvo,Ville_Agadir,Ville_Autres,Ville_Casablanca,Ville_Marrakech,Ville_Rabat,Ville_Tanger,Transmission_Automatique,Transmission_Manuelle,Carburant_Diesel,Carburant_Electrifié,Carburant_Essence
410000.0,12.923914877701906,0.9244122046897114,-0.6600973480997218,-1.1107164191834757,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
345000.0,12.75130259456002,-0.11156699022114769,0.11189464448642564,0.07069483580227777,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
360000.0,12.793862088206213,1.338803882654055,-0.6663230899754166,-0.740635785091553,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
225000.0,12.323860125621126,-0.5259586681854913,-0.14958651429275333,-0.5698293385875887,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
310000.0,12.644330802262578,0.9244122046897114,-0.06865186990872174,1.5937189837959604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
373000.0,12.829336379587506,1.1316080436718832,-0.4024761492834736,0.7701472342360118,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
135000.0,11.813037464800539,-1.5619378630963503,0.3858272870169941,-0.3363938616988373,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
320000.0,12.676079399771027,0.09562884876102412,0.12994929592594037,0.3073837688149142,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
191000.0,12.160033942617156,-0.11156699022114769,0.5375921967208047,0.800646860339876,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
550000.0,13.217675375388819,0.9244122046897114,-0.455208182970608,-0.17384306010923128,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
200000.0,12.206077645517674,0.09562884876102412,-0.1989566473670126,-0.3371665575282601,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
108000.0,11.58989576532275,0.5100205267253678,0.056585153662753594,0.7644422989227795,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
320000.0,12.676079399771027,0.5100205267253678,-0.08651974909196564,0.37182660098876696,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
138000.0,11.835016210489899,0.30282468774319593,0.5530382623144033,1.5489961625530053,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
315000.0,12.660331092405906,1.1316080436718832,-0.6510202164449589,-0.9345865050968045,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
92000.0,11.429554725537322,-1.3547420241141785,-0.025071676778858583,-0.6674330223041397,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
227000.0,12.33270970174018,0.9244122046897114,-0.4222740084481828,-0.023248709774902638,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
163000.0,12.001511614739405,0.9244122046897114,-0.20624076536157543,0.9645819058396914,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
60000.0,11.002116507732017,-1.7691337020785223,1.1578192796031415,0.26285208811923766,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
225750.0,12.32718790094827,0.5100205267253678,-0.20352634190377253,0.05081296542921638,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
300000.0,12.611541086966115,-0.11156699022114769,-0.04374890240594279,-0.19619023686016657,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
187000.0,12.138869243416009,0.9244122046897114,-0.6289250585281182,-0.9681784395759175,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
240000.0,12.388398368982115,-0.11156699022114769,0.012282774475309843,-0.1001116107016866,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
150000.0,11.918397239722838,0.30282468774319593,0.11586666780311888,0.5494937730939737,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
197000.0,12.190964083849375,-0.3187628292033195,0.43874609296039935,0.4123077288102065,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
140000.0,11.849404844423074,0.30282468774319593,0.3422470938871309,1.0670657737420701,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
125000.0,11.736077016252437,0.09562884876102412,0.09944316073503617,0.24760151253852666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
140000.0,11.849404844423074,-0.11156699022114769,0.03718574197808879,-0.05740999907569551,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
495000.0,13.112315061750808,0.9244122046897114,-0.4745702402040186,-0.26237773488045274,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
346000.0,12.754196944209095,1.1316080436718832,-0.5169052849587429,-0.014708387449704418,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
