Prix,Ville,Annee,Kilometrage,Transmission,Carburant,Marque,Modele,Prix_Log
350000.0,Marrakech,2023.0,78365,Automatique,Diesel,Kia,Sorento,12.765691290604371
165000.0,Marrakech,2022.0,18993,Manuelle,Diesel,Citroën,C3,12.013706813470414
428500.0,Casablanca,2022.0,67200,Automatique,Diesel,BMW,Série 5,12.968048350739535
358900.0,Casablanca,2019.0,87100,Automatique,Diesel,BMW,Série 5,12.790801863423264
223000.0,Marrakech,2020.0,43000,Automatique,Diesel,Volkswagen,Coccinelle,12.314931534737134
180000.0,Agadir,2018.0,57400,Manuelle,Diesel,Opel,Crossland,12.100717685412471
209000.0,Agadir,2021.0,108000,Automatique,Diesel,Kia,Ceed,12.250094315624496
125000.0,Agadir,2021.0,44000,Manuelle,Essence,Kia,Picanto,11.736077016252437
398900.0,Casablanca,2021.0,103700,Automatique,Diesel,BMW,Série 5,12.896468544784314
77000.0,Tanger,2010.0,112989,Manuelle,Essence,Toyota,Yaris,11.251573687764477
259000.0,Casablanca,2019.0,82000,Automatique,Diesel,BMW,X1,12.464587201678082
280000.0,Meknès,2022.0,72000,Automatique,Diesel,Opel,Grandland,12.54254845357358
269000.0,Casablanca,2024.0,17600,Automatique,Essence,Mini,One,12.502470376049185
223000.0,Marrakech,2020.0,43000,Automatique,Diesel,Volkswagen,Coccinelle,12.314931534737134
300000.0,Casablanca,2021.0,125000,Automatique,Diesel,BMW,Série 3,12.611541086966115
234000.0,Casablanca,2024.0,27700,Automatique,Diesel,Opel,Grandland,12.36308066783498
237000.0,Casablanca,2022.0,81000,Automatique,Diesel,Peugeot,2008,12.37581963951765
460000.0,Casablanca,2023.0,74300,Automatique,Diesel,Mercedes-Benz,Classe C,13.038983942375959
149000.0,Casablanca,2021.0,88700,Automatique,Essence,Fiat,500 C,11.91170829631447
225000.0,Fès,2019.0,152000,Automatique,Diesel,Hyundai,Tucson,12.323860125621126
550000.0,Casablanca,2023.0,80000,Automatique,Diesel,Mercedes-Benz,Classe C,13.217675375388819
250000.0,Casablanca,2024.0,23810,Automatique,Hybride,Renault,Clio,12.429220196836383
170000.0,Tétouan,2013.0,240000,Manuelle,Diesel,Volkswagen,Touran,12.04355959836804
520000.0,Casablanca,2021.0,87500,Automatique,Diesel,Mercedes-Benz,Classe GLE,13.161586013632684
320000.0,Casablanca,2025.0,9300,Automatique,Hybride,soueast,s06,12.676079399771027
184000.0,Rabat,2013.0,334930,Manuelle,Diesel,Mercedes-Benz,Classe A,12.122696471358964
210000.0,Oujda,2017.0,138500,Automatique,Diesel,Hyundai,Tucson,12.25486757159303
310000.0,Agadir,2024.0,20000,Automatique,Hybride,Kia,Niro,12.644330802262578
80000.0,Casablanca,2007.0,205421,Manuelle,Diesel,Honda,CR-V,11.289794413577894
165000.0,Casablanca,2015.0,114000,Automatique,Diesel,Mini,Countryman,12.013706813470414
130000.0,Mohammédia,2019.0,56669,Manuelle,Essence,Ford,Fiesta,11.775297421715827
265000.0,Casablanca,2021.0,174000,Automatique,Diesel,Alfa,Romeo Stelvio,12.487488878546145
